id	x	y	cluster	weight<Links>	weight<Total link strength>
1221	-0.7534	-0.2925	2	4534	795.9256
1222	1.0094	0.2993	1	4534	255.9116
1223	-0.0466	0.6295	4	4534	135.274
1224	0.3126	0.0469	5	4534	325.0327
1225	0.744	-0.6092	1	4534	362.8634
1226	0.9075	0.3645	1	4534	257.1473
1227	-0.0258	0.5571	4	4534	138.7643
1228	-0.5098	0.4213	4	4534	299.4514
1229	0.6288	-0.1414	5	4534	372.875
123	1.0233	0.3133	1	4534	214.7152
1230	1.1077	0.1284	1	4534	374.1773
1231	-1.124	0.1903	3	4534	300.0295
1232	1.0299	0.0713	1	4534	231.5653
1233	0.1357	0.579	4	4534	81.0464
1234	0.0088	0.5109	4	4534	112.1417
1235	-0.707	0.3592	4	4534	258.7075
1236	0.8174	0.0876	1	4534	198.9075
1237	0.3054	-0.2291	5	4534	513.6451
1238	-0.7803	-0.2344	2	4534	594.3539
1239	-0.661	-0.337	2	4534	817.6351
124	-0.8745	0.0778	3	4534	188.8333
1240	-0.1635	0.4865	4	4534	220.1069
1241	-0.9845	0.12	3	4534	308.9482
1242	0.6917	-0.2368	1	4534	649.968
1243	0.9919	0.0409	1	4534	316.4755
1244	-0.5056	-0.3188	2	4534	957.5009
1245	-0.627	0.3328	4	4534	328.8968
1246	0.8747	0.3585	1	4534	222.0883
1247	0.5081	0.0734	5	4534	179.863
1248	0.8114	0.3557	1	4534	181.7678
1249	-0.7382	0.3507	3	4534	413.7592
125	1.0525	-0.3606	1	4534	636.1424
1250	1.0753	-0.3362	1	4534	610.3257
1251	-0.0332	0.6122	4	4534	43.5691
1252	-0.1301	-0.3777	2	4534	896.2284
1253	-0.117	-0.0408	5	4534	381.4265
1254	0.9377	-0.0151	1	4534	252.9737
1255	-0.6381	-0.4669	2	4534	816.7074
1256	0.6448	0.3581	1	4534	298.764
1257	0.8194	-0.0837	1	4534	363.7156
1258	-0.427	0.0164	3	4534	552.5871
